Year,AIR,Candidate ID,Candidate,Written,PT,Final,Optional,Attempts,Education,Institution,Employment,Geography,Marks Evidence,Optional Evidence,Attempts Evidence,Education Evidence,Institution Evidence,Geography Evidence,Employment Evidence,Preparation Evidence,Candidate Evidence
2022,2,CSE2022_AIR2,Garima Lohia,876,187,1063,Commerce & Accountancy,2nd,"B.Com, Kirori Mal College, DU","Kirori Mal College, University of Delhi",UNKNOWN,UNKNOWN,VERIFIED_PRIMARY,VERIFIED_SECONDARY,VERIFIED_SECONDARY,REPORTED_UNVERIFIED,REPORTED_UNVERIFIED,UNKNOWN,UNKNOWN,UNKNOWN,VERIFIED_PRIMARY
2022,3,CSE2022_AIR3,Uma Harathi N,873,187,1060,Anthropology,5th,"B.Tech Civil Engineering, IIT Hyderabad",IIT Hyderabad,UNKNOWN,UNKNOWN,VERIFIED_PRIMARY,VERIFIED_SECONDARY,VERIFIED_SECONDARY,REPORTED_UNVERIFIED,REPORTED_UNVERIFIED,UNKNOWN,UNKNOWN,UNKNOWN,VERIFIED_PRIMARY
2022,4,CSE2022_AIR4,Smriti Mishra,882,173,1055,Zoology,3rd,"B.Sc., Miranda House, DU","Miranda House, University of Delhi",UNKNOWN,UNKNOWN,VERIFIED_PRIMARY,VERIFIED_SECONDARY,VERIFIED_SECONDARY,REPORTED_UNVERIFIED,REPORTED_UNVERIFIED,UNKNOWN,UNKNOWN,UNKNOWN,VERIFIED_PRIMARY
2022,5,CSE2022_AIR5,Mayur Hazarika,861,193,1054,Anthropology,1st,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,VERIFIED_PRIMARY,VERIFIED_SECONDARY,VERIFIED_SECONDARY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,VERIFIED_PRIMARY
2023,1,CSE2023_AIR1,Aditya Srivastava,899,200,1099,Electrical Engineering,3rd,"Dual Degree, IIT Kanpur",IIT Kanpur,UNKNOWN,Uttar Pradesh,VERIFIED_PRIMARY,VERIFIED_SECONDARY,VERIFIED_SECONDARY,REPORTED_UNVERIFIED,REPORTED_UNVERIFIED,REPORTED_UNVERIFIED,UNKNOWN,UNKNOWN,VERIFIED_PRIMARY
2023,2,CSE2023_AIR2,Animesh Pradhan,892,175,1067,Sociology,1st,NIT Rourkela,NIT Rourkela,UNKNOWN,Odisha,VERIFIED_PRIMARY,VERIFIED_SECONDARY,VERIFIED_SECONDARY,REPORTED_UNVERIFIED,REPORTED_UNVERIFIED,REPORTED_UNVERIFIED,UNKNOWN,UNKNOWN,VERIFIED_PRIMARY
2023,3,CSE2023_AIR3,Donuru Ananya Reddy,875,190,1065,Anthropology,1st,"B.A. Geography (Hons.), Miranda House, DU","Miranda House, University of Delhi",UNKNOWN,Telangana,VERIFIED_PRIMARY,VERIFIED_SECONDARY,VERIFIED_SECONDARY,REPORTED_UNVERIFIED,REPORTED_UNVERIFIED,REPORTED_UNVERIFIED,UNKNOWN,UNKNOWN,VERIFIED_PRIMARY
2023,4,CSE2023_AIR4,P.K. Sidharth Ramkumar,874,185,1059,Anthropology,4th,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,VERIFIED_PRIMARY,VERIFIED_SECONDARY,VERIFIED_SECONDARY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,VERIFIED_PRIMARY
2023,5,CSE2023_AIR5,Ruhani,856,193,1049,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,VERIFIED_PRIMARY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,VERIFIED_PRIMARY
2024,1,CSE2024_AIR1,Shakti Dubey,843,200,1043,PSIR,5th,"B.Sc. Biochemistry, University of Allahabad; postgraduate study at BHU",University of Allahabad,UNKNOWN,Uttar Pradesh,VERIFIED_PRIMARY,VERIFIED_SECONDARY,VERIFIED_SECONDARY,REPORTED_UNVERIFIED,REPORTED_UNVERIFIED,REPORTED_UNVERIFIED,UNKNOWN,UNKNOWN,VERIFIED_PRIMARY
2024,2,CSE2024_AIR2,Harshita Goyal,851,187,1038,PSIR,3rd,"B.Com, MS University of Baroda",MS University of Baroda,UNKNOWN,UNKNOWN,VERIFIED_PRIMARY,VERIFIED_SECONDARY,VERIFIED_SECONDARY,REPORTED_UNVERIFIED,REPORTED_UNVERIFIED,UNKNOWN,UNKNOWN,UNKNOWN,VERIFIED_PRIMARY
2024,3,CSE2024_AIR3,Archit Parag Dongre,848,190,1038,Philosophy,2nd,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,VERIFIED_PRIMARY,VERIFIED_SECONDARY,VERIFIED_SECONDARY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,VERIFIED_PRIMARY
2024,4,CSE2024_AIR4,Shah Margi Chirag,825,210,1035,Sociology,5th,"B.E. Computer Engineering, GTU",Gujarat Technological University,UNKNOWN,Gujarat,VERIFIED_PRIMARY,VERIFIED_SECONDARY,VERIFIED_SECONDARY,REPORTED_UNVERIFIED,REPORTED_UNVERIFIED,REPORTED_UNVERIFIED,UNKNOWN,UNKNOWN,VERIFIED_PRIMARY
2024,5,CSE2024_AIR5,Aakash Garg,831,201,1032,Sociology,2nd,"B.Tech Computer Science, GGSIPU",Guru Gobind Singh Indraprastha University,UNKNOWN,UNKNOWN,VERIFIED_PRIMARY,VERIFIED_SECONDARY,VERIFIED_SECONDARY,REPORTED_UNVERIFIED,REPORTED_UNVERIFIED,UNKNOWN,UNKNOWN,UNKNOWN,VERIFIED_PRIMARY
2025,1,CSE2025_AIR1,Anuj Agnihotri,867,204,1071,Medical Science,3rd,"MBBS, AIIMS Jodhpur",AIIMS Jodhpur,UNKNOWN,Rajasthan,VERIFIED_WITH_LIMITATIONS,VERIFIED_SECONDARY,VERIFIED_SECONDARY,REPORTED_UNVERIFIED,REPORTED_UNVERIFIED,REPORTED_UNVERIFIED,UNKNOWN,UNKNOWN,VERIFIED_WITH_LIMITATIONS
2025,2,CSE2025_AIR2,Rajeshwari Suve M,865,202,1067,Sociology,5th,"B.E. Electrical & Electronics Engineering, Anna University",Anna University,UNKNOWN,Tamil Nadu,VERIFIED_WITH_LIMITATIONS,VERIFIED_SECONDARY,VERIFIED_SECONDARY,REPORTED_UNVERIFIED,REPORTED_UNVERIFIED,REPORTED_UNVERIFIED,UNKNOWN,UNKNOWN,VERIFIED_WITH_LIMITATIONS
2025,3,CSE2025_AIR3,Akansh Dhull,864,193,1057,Commerce & Accountancy,4th,"B.Com, University of Delhi",University of Delhi,UNKNOWN,Haryana,VERIFIED_WITH_LIMITATIONS,VERIFIED_SECONDARY,VERIFIED_SECONDARY,REPORTED_UNVERIFIED,REPORTED_UNVERIFIED,REPORTED_UNVERIFIED,UNKNOWN,UNKNOWN,VERIFIED_WITH_LIMITATIONS
2025,4,CSE2025_AIR4,Raghav Jhunjhunwala,847,195,1042,Economics,3rd,"B.A. Economics, University of Delhi",University of Delhi,UNKNOWN,UNKNOWN,VERIFIED_WITH_LIMITATIONS,VERIFIED_SECONDARY,VERIFIED_SECONDARY,REPORTED_UNVERIFIED,REPORTED_UNVERIFIED,UNKNOWN,UNKNOWN,UNKNOWN,VERIFIED_WITH_LIMITATIONS
2025,5,CSE2025_AIR5,Ishan Bhatnagar,823,215,1038,CONFLICTING,CONFLICTING,"B.A. LLB (Hons.), NLU Delhi","National Law University, Delhi",UNKNOWN,UNKNOWN,VERIFIED_WITH_LIMITATIONS,CONFLICTING,CONFLICTING,REPORTED_UNVERIFIED,REPORTED_UNVERIFIED,UNKNOWN,UNKNOWN,UNKNOWN,VERIFIED_WITH_LIMITATIONS
